spots_genename,spots_coords_1,spots_coords_2,spots_score,idx
Pde1a,14964,22955,0.962740018891082,3135
Gap43,14971,22955,0.97408107956519,3135
Calm2,14985,22958,0.979558910531273,86
Sst,14966,22960,0.960640806973549,3135
Gap43,14758,22964,0.992271841522104,3135
Plp1,14706,22971,0.987957304765215,116
Calm2,14938,22974,0.980025589152438,3135
Gap43,14956,22976,0.983350566674432,121
Cplx2,14849,22977,0.948836612903839,3135
Neurod6,14961,22978,0.981412677637751,121
Lamp5,14942,22979,0.968892206874246,3135
Plp1,14681,22980,0.983596947705747,3135
Enc1,14710,22980,0.966144580566218,116
Neurod6,14960,22981,0.934192654105548,121
Plp1,14698,22983,0.976309259897483,116
Plp1,14704,22984,0.985565621777644,116
Cadps2,14902,22985,0.965743009356999,3135
Plp1,14689,22986,0.971960946789135,116
Plp1,14721,22986,0.983831347479817,116
Enc1,14950,22986,0.991783656970361,121
Cplx2,14981,22990,0.949145948423175,3135
Plp1,14709,22992,0.945870183666293,116
Plp1,14715,22992,0.953388019072834,116
3110035E14Rik,14960,22992,0.982123339011237,121
Pde1a,14875,22995,0.949988901640496,3135
Plp1,14705,22999,0.980817254839456,116
Cryab,14717,23000,0.960430218579907,116
Satb1,14968,23001,0.981648239775522,121
Plp1,14714,23002,0.974927081438934,116
Plp1,14715,23010,0.96592263633179,116
3110035E14Rik,14972,23010,0.977974816545055,121
Pvalb,14725,23012,0.990415482598437,3135
3110035E14Rik,14927,23014,0.962273575952034,3135
Satb1,14962,23023,0.968235147448574,3135
Plp1,14649,23031,0.970679332341911,141
Id2,14934,23033,0.993530866425387,3135
Enpp2,14605,23038,0.975535147044292,3135
Plp1,14640,23039,0.986492346050361,141
Plp1,14654,23041,0.971091462230013,141
Cryab,14648,23044,0.940935144510332,141
Plp1,14766,23044,0.951709770197047,140
Enpp2,14658,23045,0.98840150674167,141
Plp1,14659,23046,0.91967048550661,141
Plp1,14651,23047,0.992073845793109,141
Enpp2,14656,23049,0.907080179160005,141
Plp1,14601,23050,0.982041801425844,153
Plp1,14657,23050,0.968841864000124,141
Plp1,14650,23054,0.973138032040666,141
